date,close,open,high,low,volume,trading_value,market_cap,per,pbr,eps,listed_shares,company_name,code,listing_date
2024-06-19,2050.0,2060.0,2060.0,2035.0,2250330,4603668810.0,0.0,0.0,0.0,0.0,0.0,디비금융제12호기업인수목적,477760,2024-06-18
2024-11-28,1990.0,3170.0,4500.0,1989.0,112408237,376872277975.0,0.0,0.0,0.0,0.0,0.0,디비금융제13호기업인수목적,489730,2024-11-28
2024-11-29,1967.0,1985.0,1985.0,1961.0,2301191,4531043818.0,0.0,0.0,0.0,0.0,0.0,디비금융제13호기업인수목적,489730,2024-11-28
2024-05-02,36500.0,49250.0,53900.0,36100.0,11582965,524847569150.0,0.0,0.0,0.0,0.0,0.0,디앤디파마텍,347850,2024-05-02
2024-05-03,40500.0,38700.0,42600.0,37350.0,6539729,261028704150.0,0.0,0.0,0.0,0.0,0.0,디앤디파마텍,347850,2024-05-02
2024-06-17,24550.0,50000.0,56000.0,23150.0,33112093,1216358719450.0,0.0,0.0,0.0,0.0,0.0,라메디텍,462510,2024-06-17
2024-06-18,22700.0,23600.0,23950.0,21250.0,4547521,102035734100.0,0.0,0.0,0.0,0.0,0.0,라메디텍,462510,2024-06-17
2023-03-09,5420.0,5420.0,6670.0,5420.0,16156392,94700419220.0,0.0,0.0,0.0,0.0,0.0,라온텍,418420,2023-03-09
2023-03-10,5860.0,5150.0,6210.0,4855.0,24468635,141072513635.0,0.0,0.0,0.0,0.0,0.0,라온텍,418420,2023-03-09
2024-02-01,17250.0,18000.0,20350.0,17250.0,2307470,42132072050.0,0.0,0.0,0.0,0.0,0.0,레이저옵텍,199550,2024-02-01
2024-02-02,14100.0,14800.0,16710.0,13620.0,5000956,74994418130.0,0.0,0.0,0.0,0.0,0.0,레이저옵텍,199550,2024-02-01
2022-07-21,40000.0,30800.0,40000.0,29700.0,6896842,253388294700.0,0.0,0.0,0.0,0.0,0.0,루닛,328130,2022-07-21
2022-07-22,40400.0,39350.0,48950.0,38450.0,7592975,331410924900.0,0.0,0.0,0.0,0.0,0.0,루닛,328130,2022-07-21
2024-10-21,14910.0,14000.0,19180.0,13500.0,53532879,896325906170.0,0.0,0.0,0.0,0.0,0.0,루미르,474170,2024-10-21
2024-10-22,12560.0,13760.0,15940.0,12390.0,34201540,485467913410.0,0.0,0.0,0.0,0.0,0.0,루미르,474170,2024-10-21
2023-06-08,41600.0,32000.0,41600.0,32000.0,11562085,438944794250.0,0.0,0.0,0.0,0.0,0.0,마녀공장,439090,2023-06-08
2023-06-09,46900.0,43550.0,53000.0,43050.0,11360810,555437772050.0,0.0,0.0,0.0,0.0,0.0,마녀공장,439090,2023-06-08
2023-04-26,20650.0,25200.0,30500.0,20050.0,10668998,275604790250.0,0.0,0.0,0.0,0.0,0.0,마이크로투나노,424980,2023-04-26
2023-04-27,21000.0,21500.0,23750.0,19280.0,7496221,163930678170.0,0.0,0.0,0.0,0.0,0.0,마이크로투나노,424980,2023-04-26
2023-11-09,5590.0,6960.0,7950.0,5510.0,32006618,216626608050.0,0.0,0.0,0.0,0.0,0.0,메가터치,446540,2023-11-09
2023-11-10,5180.0,5850.0,6100.0,5100.0,10522254,58781770690.0,0.0,0.0,0.0,0.0,0.0,메가터치,446540,2023-11-09
2023-03-15,9410.0,9370.0,9680.0,9330.0,651563,6132906400.0,0.0,0.0,0.0,0.0,0.0,미래에셋드림기업인수목적1호 주식회사,442900,2023-03-15
2023-03-16,9510.0,9430.0,9560.0,9400.0,136714,1292846460.0,0.0,0.0,0.0,0.0,0.0,미래에셋드림기업인수목적1호 주식회사,442900,2023-03-15
2024-05-29,2255.0,2840.0,7080.0,2255.0,208536608,1069456571985.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적4호,477380,2024-05-29
